Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,6
Base Time Seconds,1742480705
Base Time Fractional,.902928260
Base Time,03/20/2025 14:25:05.902928260
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.355248180346e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0003327876329,Volt DC,100,T,2W,F,F,03/20/2025,14:25:05,.902928260
2,-0.0006731774192303,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,-9.9972267150879,Volt DC,100,T,2W,F,F,03/20/2025,14:25:07,.182464920
3,-0.001346997101791,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-19.9980087280273,Volt DC,100,T,2W,F,F,03/20/2025,14:25:07,.428555460
4,-0.00202146009542,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-29.9999408721924,Volt DC,100,T,2W,F,F,03/20/2025,14:25:07,.512409160
5,-0.002696400973946,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-39.9976463317871,Volt DC,100,T,2W,F,F,03/20/2025,14:25:07,.596259260
6,-0.003372393781319,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-49.9994659423828,Volt DC,100,T,2W,F,F,03/20/2025,14:25:07,.680123040
